TransactionID,ProductID,CustomerID,StoreID,Date,Quantity,TotalAmount
61,131,1421,13,2024-01-03 12:00:00,2,81.08
62,140,1385,34,2024-01-03 13:00:00,2,58.5
63,121,1256,41,2024-01-03 14:00:00,1,18.69
64,142,1327,8,2024-01-03 15:00:00,2,85.84
65,133,1253,48,2024-01-03 16:00:00,3,91.37
66,125,1042,32,2024-01-03 17:00:00,1,12.0
67,133,1448,7,2024-01-03 18:00:00,3,69.22
68,110,1106,45,2024-01-03 19:00:00,1,11.62
69,120,1041,5,2024-01-03 20:00:00,2,51.02
70,116,1238,49,2024-01-03 21:00:00,2,73.57
71,109,1120,11,2024-01-03 22:00:00,1,96.7
72,112,1008,37,2024-01-03 23:00:00,1,33.42
73,129,1157,23,2024-01-04 00:00:00,5,48.09
74,112,1422,20,2024-01-04 01:00:00,1,63.83
75,105,1426,7,2024-01-04 02:00:00,1,21.19
76,108,1346,24,2024-01-04 03:00:00,1,47.16
77,119,1133,36,2024-01-04 04:00:00,2,50.02
78,143,1299,23,2024-01-04 05:00:00,2,44.57
79,131,1154,9,2024-01-04 06:00:00,3,56.29
80,101,1409,42,2024-01-04 07:00:00,5,36.32
81,130,1185,45,2024-01-04 08:00:00,4,22.09
82,145,1033,40,2024-01-04 09:00:00,4,89.56
83,135,1256,18,2024-01-04 10:00:00,4,27.61
84,129,1390,50,2024-01-04 11:00:00,1,20.38
85,117,1425,9,2024-01-04 12:00:00,5,26.46
86,138,1276,14,2024-01-04 13:00:00,2,23.0
87,145,1454,37,2024-01-04 14:00:00,3,44.89
88,130,1287,40,2024-01-04 15:00:00,3,14.1
89,150,1144,14,2024-01-04 16:00:00,1,18.81
90,129,1278,19,2024-01-04 17:00:00,2,48.31
91,108,1038,29,2024-01-04 18:00:00,3,64.79
92,110,1059,4,2024-01-04 19:00:00,5,14.71
93,148,1025,8,2024-01-04 20:00:00,1,99.36
94,132,1025,27,2024-01-04 21:00:00,1,46.34
95,118,1494,31,2024-01-04 22:00:00,3,75.59
96,133,1284,43,2024-01-04 23:00:00,5,66.15
97,125,1011,47,2024-01-05 00:00:00,5,73.85
98,138,1319,17,2024-01-05 01:00:00,2,77.13
99,148,1126,39,2024-01-05 02:00:00,4,56.34
100,136,1449,37,2024-01-05 03:00:00,5,48.46
101,125,1046,28,2024-01-05 04:00:00,4,20.68
102,142,1301,47,2024-01-05 05:00:00,1,24.96
103,147,1035,49,2024-01-05 06:00:00,2,13.22
104,111,1005,24,2024-01-05 07:00:00,1,45.08
105,148,1344,10,2024-01-05 08:00:00,2,58.27
106,133,1149,7,2024-01-05 09:00:00,3,10.21
107,142,1418,13,2024-01-05 10:00:00,5,17.68
108,109,1348,50,2024-01-05 11:00:00,2,11.76
109,118,1125,41,2024-01-05 12:00:00,4,42.3
110,143,1095,11,2024-01-05 13:00:00,3,28.8
111,108,1189,31,2024-01-05 14:00:00,1,41.25
112,121,1061,39,2024-01-05 15:00:00,5,79.41
113,150,1226,32,2024-01-05 16:00:00,3,67.0
114,106,1485,19,2024-01-05 17:00:00,1,59.5
115,111,1092,25,2024-01-05 18:00:00,1,45.09
116,105,1338,44,2024-01-05 19:00:00,2,35.31
117,134,1269,18,2024-01-05 20:00:00,2,18.73
118,116,1058,25,2024-01-05 21:00:00,4,73.08
119,119,1410,26,2024-01-05 22:00:00,4,89.35
120,131,1385,26,2024-01-05 23:00:00,2,49.1
121,129,1357,15,2024-01-06 00:00:00,3,38.68
122,132,1116,43,2024-01-06 01:00:00,3,82.76
123,128,1004,17,2024-01-06 02:00:00,3,29.53
124,135,1192,50,2024-01-06 03:00:00,4,87.67
125,144,1346,49,2024-01-06 04:00:00,5,35.87
126,115,1042,24,2024-01-06 05:00:00,2,15.66
127,130,1199,26,2024-01-06 06:00:00,5,90.8
128,116,1500,34,2024-01-06 07:00:00,4,63.76
129,122,1119,24,2024-01-06 08:00:00,4,25.52
130,130,1120,13,2024-01-06 09:00:00,2,98.33
131,142,1368,39,2024-01-06 10:00:00,1,97.18
132,136,1106,18,2024-01-06 11:00:00,3,97.36
133,109,1165,39,2024-01-06 12:00:00,5,30.85
134,123,1345,25,2024-01-06 13:00:00,3,49.92
135,105,1471,39,2024-01-06 14:00:00,2,24.29
136,145,1087,12,2024-01-06 15:00:00,2,60.63
137,135,1363,18,2024-01-06 16:00:00,5,85.47
138,130,1272,31,2024-01-06 17:00:00,1,86.59
139,140,1396,23,2024-01-06 18:00:00,3,45.81
140,104,1177,6,2024-01-06 19:00:00,1,24.18
141,109,1464,4,2024-01-06 20:00:00,5,92.82
142,121,1077,31,2024-01-06 21:00:00,3,99.5
143,141,1113,13,2024-01-06 22:00:00,5,73.32
144,132,1496,8,2024-01-06 23:00:00,3,75.48
145,112,1369,14,2024-01-07 00:00:00,1,71.18
146,132,1288,27,2024-01-07 01:00:00,2,59.18
147,103,1253,40,2024-01-07 02:00:00,3,69.51
148,107,1042,20,2024-01-07 03:00:00,2,92.28
149,122,1464,11,2024-01-07 04:00:00,5,21.29
150,116,1327,8,2024-01-07 05:00:00,4,71.56
151,146,1399,8,2024-01-07 06:00:00,5,94.0
152,101,1054,43,2024-01-07 07:00:00,3,58.21
153,107,1197,47,2024-01-07 08:00:00,1,14.56
154,129,1168,50,2024-01-07 09:00:00,2,86.78
155,139,1426,25,2024-01-07 10:00:00,3,18.57
156,130,1078,44,2024-01-07 11:00:00,3,53.91
157,124,1107,21,2024-01-07 12:00:00,2,75.85
158,129,1270,49,2024-01-07 13:00:00,2,37.6
159,131,1211,4,2024-01-07 14:00:00,3,47.34
160,134,1179,24,2024-01-07 15:00:00,1,92.07
161,145,1074,20,2024-01-07 16:00:00,5,89.72
162,119,1330,22,2024-01-07 17:00:00,4,20.18
163,123,1021,48,2024-01-07 18:00:00,3,31.22
164,140,1188,36,2024-01-07 19:00:00,5,73.31
165,121,1457,7,2024-01-07 20:00:00,2,56.21
166,149,1390,22,2024-01-07 21:00:00,5,79.65
167,150,1153,30,2024-01-07 22:00:00,4,64.36
168,120,1181,47,2024-01-07 23:00:00,3,87.04
169,146,1009,26,2024-01-08 00:00:00,2,23.4
170,105,1356,23,2024-01-08 01:00:00,3,71.7
171,109,1293,30,2024-01-08 02:00:00,4,25.28
172,146,1352,5,2024-01-08 03:00:00,3,17.06
173,111,1159,39,2024-01-08 04:00:00,4,59.79
174,106,1254,5,2024-01-08 05:00:00,3,17.45
175,111,1133,30,2024-01-08 06:00:00,3,72.06
176,123,1115,34,2024-01-08 07:00:00,3,58.27
177,124,1050,17,2024-01-08 08:00:00,3,82.56
178,118,1463,12,2024-01-08 09:00:00,1,53.92
179,105,1463,21,2024-01-08 10:00:00,1,49.03
180,144,1456,40,2024-01-08 11:00:00,1,90.38
181,139,1353,34,2024-01-08 12:00:00,5,84.88
182,130,1153,32,2024-01-08 13:00:00,4,55.22
183,113,1243,12,2024-01-08 14:00:00,5,94.9
184,132,1399,31,2024-01-08 15:00:00,4,98.67
185,142,1144,20,2024-01-08 16:00:00,5,31.23
186,113,1211,41,2024-01-08 17:00:00,3,35.57
187,110,1020,26,2024-01-08 18:00:00,2,50.87
188,130,1438,18,2024-01-08 19:00:00,5,20.46
189,102,1317,33,2024-01-08 20:00:00,5,95.95
190,137,1076,25,2024-01-08 21:00:00,3,88.77
191,128,1471,27,2024-01-08 22:00:00,2,47.54
192,113,1329,16,2024-01-08 23:00:00,1,27.6
193,124,1431,14,2024-01-09 00:00:00,5,83.95
194,112,1336,46,2024-01-09 01:00:00,3,87.98
195,111,1346,4,2024-01-09 02:00:00,3,20.45
196,108,1343,32,2024-01-09 03:00:00,2,63.15
197,148,1383,44,2024-01-09 04:00:00,1,37.36
198,121,1310,23,2024-01-09 05:00:00,2,82.21
199,114,1215,26,2024-01-09 06:00:00,1,23.01
200,115,1364,31,2024-01-09 07:00:00,3,84.33
201,130,1419,1,2024-01-09 08:00:00,1,54.79
202,135,1408,1,2024-01-09 09:00:00,1,19.98
203,124,1356,9,2024-01-09 10:00:00,2,64.06
204,119,1135,30,2024-01-09 11:00:00,3,73.0
205,115,1355,16,2024-01-09 12:00:00,1,73.46
206,144,1270,9,2024-01-09 13:00:00,1,76.24
207,104,1153,6,2024-01-09 14:00:00,3,50.6
208,141,1347,42,2024-01-09 15:00:00,3,21.37
209,112,1434,12,2024-01-09 16:00:00,2,22.76
210,112,1055,18,2024-01-09 17:00:00,2,87.12
211,128,1201,44,2024-01-09 18:00:00,4,90.11
212,118,1458,17,2024-01-09 19:00:00,5,12.71
213,120,1325,38,2024-01-09 20:00:00,3,81.79
214,132,1493,30,2024-01-09 21:00:00,4,99.13
215,119,1051,43,2024-01-09 22:00:00,1,83.38
216,116,1101,16,2024-01-09 23:00:00,5,68.61
217,110,1256,12,2024-01-10 00:00:00,5,22.33
218,109,1335,50,2024-01-10 01:00:00,5,12.6
219,148,1445,8,2024-01-10 02:00:00,2,77.47
220,111,1450,13,2024-01-10 03:00:00,5,12.05
221,112,1208,18,2024-01-10 04:00:00,4,12.17
222,103,1289,50,2024-01-10 05:00:00,2,25.59
223,112,1408,44,2024-01-10 06:00:00,2,90.74
224,128,1155,47,2024-01-10 07:00:00,1,73.12
225,137,1297,49,2024-01-10 08:00:00,2,30.25
226,110,1432,42,2024-01-10 09:00:00,1,92.49
227,146,1358,33,2024-01-10 10:00:00,1,46.51
228,125,1238,18,2024-01-10 11:00:00,2,62.31
229,122,1034,19,2024-01-10 12:00:00,4,29.85
230,115,1166,32,2024-01-10 13:00:00,5,96.32
231,106,1475,29,2024-01-10 14:00:00,2,95.52
232,133,1364,18,2024-01-10 15:00:00,3,98.61
233,137,1021,9,2024-01-10 16:00:00,2,76.98
234,111,1054,6,2024-01-10 17:00:00,3,61.43
235,138,1453,32,2024-01-10 18:00:00,1,16.24
236,140,1382,33,2024-01-10 19:00:00,2,58.75
237,146,1425,46,2024-01-10 20:00:00,2,24.28
238,109,1026,16,2024-01-10 21:00:00,3,60.75
239,127,1431,24,2024-01-10 22:00:00,4,79.49
240,127,1412,32,2024-01-10 23:00:00,4,16.07
241,132,1037,9,2024-01-11 00:00:00,3,89.18
242,111,1340,40,2024-01-11 01:00:00,2,41.13
243,125,1015,6,2024-01-11 02:00:00,1,61.97
244,136,1471,50,2024-01-11 03:00:00,5,87.57
245,149,1415,13,2024-01-11 04:00:00,2,20.28
246,111,1141,43,2024-01-11 05:00:00,3,91.72
247,110,1391,21,2024-01-11 06:00:00,5,13.05
248,114,1150,48,2024-01-11 07:00:00,1,12.66
249,117,1470,8,2024-01-11 08:00:00,1,58.24
250,129,1171,21,2024-01-11 09:00:00,2,30.72
251,120,1015,17,2024-01-11 10:00:00,5,47.57
252,127,1002,36,2024-01-11 11:00:00,2,71.69
253,114,1071,8,2024-01-11 12:00:00,3,18.48
254,141,1231,13,2024-01-11 13:00:00,4,99.82
255,107,1346,28,2024-01-11 14:00:00,3,41.18
256,134,1065,50,2024-01-11 15:00:00,1,45.49
257,138,1408,15,2024-01-11 16:00:00,5,19.08
258,105,1484,32,2024-01-11 17:00:00,5,68.19
259,132,1342,41,2024-01-11 18:00:00,1,70.0
260,138,1109,18,2024-01-11 19:00:00,5,75.21
261,136,1447,13,2024-01-11 20:00:00,2,59.0
262,116,1170,13,2024-01-11 21:00:00,5,62.14
263,133,1188,45,2024-01-11 22:00:00,2,70.3
264,138,1389,9,2024-01-11 23:00:00,1,86.98
265,142,1067,8,2024-01-12 00:00:00,4,69.58
266,137,1109,13,2024-01-12 01:00:00,5,51.7
267,145,1147,38,2024-01-12 02:00:00,5,81.36
268,119,1338,6,2024-01-12 03:00:00,1,51.06
269,116,1449,24,2024-01-12 04:00:00,1,61.65
270,104,1440,35,2024-01-12 05:00:00,4,89.63
271,141,1239,7,2024-01-12 06:00:00,3,82.48
272,147,1378,19,2024-01-12 07:00:00,3,45.96
273,115,1081,37,2024-01-12 08:00:00,3,14.17
274,142,1484,12,2024-01-12 09:00:00,4,53.91
275,102,1377,29,2024-01-12 10:00:00,1,65.15
276,110,1450,17,2024-01-12 11:00:00,1,62.64
277,125,1069,43,2024-01-12 12:00:00,4,92.39
278,117,1374,4,2024-01-12 13:00:00,3,22.15
279,132,1291,31,2024-01-12 14:00:00,4,12.22
280,105,1413,43,2024-01-12 15:00:00,2,79.2
281,144,1349,19,2024-01-12 16:00:00,2,19.65
282,139,1099,45,2024-01-12 17:00:00,2,14.77
283,136,1336,44,2024-01-12 18:00:00,1,51.79
284,103,1399,22,2024-01-12 19:00:00,3,48.36
285,108,1291,5,2024-01-12 20:00:00,2,97.63
286,125,1433,15,2024-01-12 21:00:00,5,35.91
287,142,1268,4,2024-01-12 22:00:00,3,59.27
288,115,1304,40,2024-01-12 23:00:00,5,59.35
289,149,1386,3,2024-01-13 00:00:00,3,38.59
290,128,1142,36,2024-01-13 01:00:00,3,90.53
291,140,1458,38,2024-01-13 02:00:00,2,51.29
292,130,1426,4,2024-01-13 03:00:00,4,44.22
293,137,1157,31,2024-01-13 04:00:00,1,50.96
294,116,1019,24,2024-01-13 05:00:00,2,64.67
295,113,1340,30,2024-01-13 06:00:00,2,46.76
296,142,1224,25,2024-01-13 07:00:00,1,21.9
297,146,1404,30,2024-01-13 08:00:00,1,97.17
298,143,1035,14,2024-01-13 09:00:00,1,52.33
299,145,1387,3,2024-01-13 10:00:00,4,56.54
300,119,1199,50,2024-01-13 11:00:00,2,98.77
301,122,1338,2,2024-01-13 12:00:00,2,72.68
302,108,1399,21,2024-01-13 13:00:00,5,70.51
303,139,1320,35,2024-01-13 14:00:00,2,76.69
304,149,1380,13,2024-01-13 15:00:00,3,78.56
305,107,1327,23,2024-01-13 16:00:00,1,32.14
306,144,1418,46,2024-01-13 17:00:00,4,96.15
307,127,1465,41,2024-01-13 18:00:00,1,34.1
308,140,1180,45,2024-01-13 19:00:00,5,90.3
309,104,1075,23,2024-01-13 20:00:00,5,63.66
310,106,1431,37,2024-01-13 21:00:00,4,46.95
311,128,1493,32,2024-01-13 22:00:00,1,30.23
312,101,1492,2,2024-01-13 23:00:00,2,39.79
313,108,1294,28,2024-01-14 00:00:00,5,21.5
314,106,1131,13,2024-01-14 01:00:00,5,43.01
315,110,1019,2,2024-01-14 02:00:00,4,19.63
316,146,1324,28,2024-01-14 03:00:00,5,45.12
317,108,1411,42,2024-01-14 04:00:00,4,57.75
318,134,1134,41,2024-01-14 05:00:00,1,12.59
319,129,1284,31,2024-01-14 06:00:00,2,58.57
320,133,1046,14,2024-01-14 07:00:00,4,42.06
321,121,1188,44,2024-01-14 08:00:00,5,43.39
322,103,1077,3,2024-01-14 09:00:00,5,47.82
323,134,1202,25,2024-01-14 10:00:00,5,12.27
324,143,1376,47,2024-01-14 11:00:00,4,48.3
325,142,1274,3,2024-01-14 12:00:00,3,77.6
326,111,1338,39,2024-01-14 13:00:00,2,58.74
327,115,1451,15,2024-01-14 14:00:00,2,92.13
328,101,1408,43,2024-01-14 15:00:00,1,96.74
329,117,1364,3,2024-01-14 16:00:00,3,16.08
330,132,1383,10,2024-01-14 17:00:00,5,29.54
331,130,1417,41,2024-01-14 18:00:00,3,42.62
332,141,1259,47,2024-01-14 19:00:00,3,15.01
333,140,1223,10,2024-01-14 20:00:00,5,77.89
334,105,1062,27,2024-01-14 21:00:00,3,84.37
335,147,1354,10,2024-01-14 22:00:00,1,92.41
336,117,1178,21,2024-01-14 23:00:00,5,81.88
337,125,1269,9,2024-01-15 00:00:00,5,86.37
338,124,1040,43,2024-01-15 01:00:00,3,79.3
339,144,1351,24,2024-01-15 02:00:00,4,86.43
340,122,1105,10,2024-01-15 03:00:00,5,38.97
341,129,1132,40,2024-01-15 04:00:00,1,56.45
342,134,1151,38,2024-01-15 05:00:00,1,28.47
343,101,1293,41,2024-01-15 06:00:00,3,99.22
344,114,1006,43,2024-01-15 07:00:00,2,99.44
345,125,1039,2,2024-01-15 08:00:00,2,41.89
346,137,1448,28,2024-01-15 09:00:00,4,34.07
347,124,1170,7,2024-01-15 10:00:00,3,50.95
348,119,1150,34,2024-01-15 11:00:00,1,76.2
349,129,1377,1,2024-01-15 12:00:00,2,78.45
350,125,1212,6,2024-01-15 13:00:00,4,36.8
351,103,1163,8,2024-01-15 14:00:00,3,56.42
352,124,1338,24,2024-01-15 15:00:00,2,79.46
353,120,1413,33,2024-01-15 16:00:00,4,20.49
354,150,1237,35,2024-01-15 17:00:00,3,78.51
355,114,1088,44,2024-01-15 18:00:00,5,43.13
356,124,1450,8,2024-01-15 19:00:00,2,44.14
357,147,1048,7,2024-01-15 20:00:00,3,73.29
358,136,1145,30,2024-01-15 21:00:00,3,33.94
359,127,1239,31,2024-01-15 22:00:00,2,59.47
360,148,1146,8,2024-01-15 23:00:00,1,89.9
361,105,1498,12,2024-01-16 00:00:00,1,57.97
362,142,1205,1,2024-01-16 01:00:00,2,54.55
363,102,1395,45,2024-01-16 02:00:00,3,91.25
364,132,1246,44,2024-01-16 03:00:00,5,65.15
365,117,1032,29,2024-01-16 04:00:00,2,67.6
366,116,1269,48,2024-01-16 05:00:00,1,55.93
367,120,1042,31,2024-01-16 06:00:00,1,82.72
368,148,1154,41,2024-01-16 07:00:00,3,58.22
369,138,1296,35,2024-01-16 08:00:00,1,66.02
370,131,1181,28,2024-01-16 09:00:00,4,29.24
371,101,1348,2,2024-01-16 10:00:00,1,17.37
372,137,1034,49,2024-01-16 11:00:00,2,20.35
373,114,1423,4,2024-01-16 12:00:00,3,52.63
374,111,1277,38,2024-01-16 13:00:00,5,65.4
375,125,1094,37,2024-01-16 14:00:00,2,34.47
376,132,1490,9,2024-01-16 15:00:00,2,17.18
377,116,1201,38,2024-01-16 16:00:00,1,56.01
378,146,1455,1,2024-01-16 17:00:00,2,39.32
379,120,1313,45,2024-01-16 18:00:00,1,28.26
380,136,1279,44,2024-01-16 19:00:00,2,68.97
381,140,1125,43,2024-01-16 20:00:00,5,19.43
382,140,1388,49,2024-01-16 21:00:00,1,17.68
383,105,1492,34,2024-01-16 22:00:00,3,54.08
384,118,1186,14,2024-01-16 23:00:00,5,81.8
385,117,1331,24,2024-01-17 00:00:00,2,49.53
386,125,1297,24,2024-01-17 01:00:00,3,20.07
387,133,1192,26,2024-01-17 02:00:00,2,47.2
388,104,1431,16,2024-01-17 03:00:00,3,35.17
389,139,1405,25,2024-01-17 04:00:00,4,32.82
390,140,1062,23,2024-01-17 05:00:00,2,75.15
391,103,1345,35,2024-01-17 06:00:00,5,36.44
392,142,1464,17,2024-01-17 07:00:00,3,94.24
393,147,1306,24,2024-01-17 08:00:00,5,81.14
394,117,1467,9,2024-01-17 09:00:00,1,67.44
395,112,1483,13,2024-01-17 10:00:00,2,92.54
396,150,1035,18,2024-01-17 11:00:00,5,16.8
397,115,1401,28,2024-01-17 12:00:00,4,31.96
398,140,1324,4,2024-01-17 13:00:00,4,26.8
399,127,1269,27,2024-01-17 14:00:00,2,86.64
400,145,1402,5,2024-01-17 15:00:00,4,76.89
401,148,1412,45,2024-01-17 16:00:00,4,61.28
402,125,1411,49,2024-01-17 17:00:00,3,33.24
403,132,1364,34,2024-01-17 18:00:00,3,89.33
404,110,1312,31,2024-01-17 19:00:00,1,97.73
405,116,1074,47,2024-01-17 20:00:00,5,17.98
406,112,1192,30,2024-01-17 21:00:00,2,41.19
407,149,1455,16,2024-01-17 22:00:00,5,48.93
408,136,1467,16,2024-01-17 23:00:00,2,84.37
409,125,1017,14,2024-01-18 00:00:00,5,40.03
410,116,1035,32,2024-01-18 01:00:00,1,99.07
411,125,1493,26,2024-01-18 02:00:00,5,64.78
412,104,1174,23,2024-01-18 03:00:00,1,90.42
413,116,1432,32,2024-01-18 04:00:00,4,53.21
414,132,1442,22,2024-01-18 05:00:00,1,11.45
415,118,1445,37,2024-01-18 06:00:00,2,50.7
416,140,1257,6,2024-01-18 07:00:00,1,74.26
417,145,1464,44,2024-01-18 08:00:00,5,80.48
418,118,1044,50,2024-01-18 09:00:00,3,20.34
419,103,1352,10,2024-01-18 10:00:00,1,63.98
420,133,1051,4,2024-01-18 11:00:00,5,88.19
421,104,1449,8,2024-01-18 12:00:00,2,88.79
422,122,1336,10,2024-01-18 13:00:00,2,74.72
423,109,1394,5,2024-01-18 14:00:00,1,42.91
424,117,1027,15,2024-01-18 15:00:00,2,18.16
425,119,1220,47,2024-01-18 16:00:00,2,41.62
426,148,1242,37,2024-01-18 17:00:00,5,25.28
427,121,1120,9,2024-01-18 18:00:00,1,59.88
428,113,1207,14,2024-01-18 19:00:00,2,34.36
429,134,1072,46,2024-01-18 20:00:00,2,93.36
430,119,1358,31,2024-01-18 21:00:00,5,20.37
431,126,1186,5,2024-01-18 22:00:00,5,74.48
432,131,1459,47,2024-01-18 23:00:00,5,43.75
433,111,1295,15,2024-01-19 00:00:00,1,70.21
434,120,1355,32,2024-01-19 01:00:00,3,71.62
435,117,1053,37,2024-01-19 02:00:00,5,57.73
436,138,1246,14,2024-01-19 03:00:00,3,48.31
437,109,1270,24,2024-01-19 04:00:00,5,48.2
438,124,1259,43,2024-01-19 05:00:00,5,19.52
439,127,1057,2,2024-01-19 06:00:00,4,70.19
440,150,1044,33,2024-01-19 07:00:00,4,92.7
441,127,1094,36,2024-01-19 08:00:00,1,87.59
442,123,1402,20,2024-01-19 09:00:00,1,56.61
443,144,1394,28,2024-01-19 10:00:00,1,86.96
444,110,1107,40,2024-01-19 11:00:00,3,18.62
445,137,1225,35,2024-01-19 12:00:00,3,56.59
446,141,1237,46,2024-01-19 13:00:00,2,12.21
447,119,1194,16,2024-01-19 14:00:00,1,23.39
448,108,1463,44,2024-01-19 15:00:00,1,33.92
449,150,1119,35,2024-01-19 16:00:00,2,15.9
450,112,1171,14,2024-01-19 17:00:00,3,16.0
451,147,1084,46,2024-01-19 18:00:00,5,59.71
452,103,1407,31,2024-01-19 19:00:00,2,11.09
453,117,1377,33,2024-01-19 20:00:00,5,89.78
454,101,1201,42,2024-01-19 21:00:00,1,65.52
455,118,1113,47,2024-01-19 22:00:00,3,67.47
456,140,1007,26,2024-01-19 23:00:00,4,78.06
457,103,1452,30,2024-01-20 00:00:00,3,31.05
458,134,1391,37,2024-01-20 01:00:00,4,92.1
459,143,1336,5,2024-01-20 02:00:00,5,78.24
460,148,1102,40,2024-01-20 03:00:00,2,97.66
461,145,1067,44,2024-01-20 04:00:00,2,64.73
462,148,1131,46,2024-01-20 05:00:00,1,64.59
463,144,1392,13,2024-01-20 06:00:00,3,19.3
464,131,1162,26,2024-01-20 07:00:00,4,38.13
465,112,1222,30,2024-01-20 08:00:00,3,93.11
466,140,1468,24,2024-01-20 09:00:00,2,96.67
467,101,1143,14,2024-01-20 10:00:00,4,50.66
468,110,1297,38,2024-01-20 11:00:00,1,28.52
469,147,1274,33,2024-01-20 12:00:00,1,53.05
470,130,1391,40,2024-01-20 13:00:00,4,63.8
471,104,1108,42,2024-01-20 14:00:00,5,30.89
472,117,1231,38,2024-01-20 15:00:00,1,11.71
473,112,1418,10,2024-01-20 16:00:00,1,60.53
474,142,1239,46,2024-01-20 17:00:00,3,85.18
475,142,1495,2,2024-01-20 18:00:00,3,19.9
476,110,1199,4,2024-01-20 19:00:00,1,32.26
477,129,1420,34,2024-01-20 20:00:00,1,21.85
478,124,1429,22,2024-01-20 21:00:00,5,65.64
479,128,1471,30,2024-01-20 22:00:00,3,73.36
480,108,1423,14,2024-01-20 23:00:00,4,58.77
481,103,1330,26,2024-01-21 00:00:00,1,77.22
482,104,1177,22,2024-01-21 01:00:00,2,67.74
483,130,1164,15,2024-01-21 02:00:00,2,53.77
484,125,1274,18,2024-01-21 03:00:00,5,25.86
485,145,1208,16,2024-01-21 04:00:00,2,93.25
486,141,1477,24,2024-01-21 05:00:00,3,40.79
487,113,1329,10,2024-01-21 06:00:00,2,84.87
488,149,1013,5,2024-01-21 07:00:00,2,89.02
489,104,1468,23,2024-01-21 08:00:00,1,95.7
490,132,1218,1,2024-01-21 09:00:00,5,10.6
491,130,1197,4,2024-01-21 10:00:00,3,71.68
492,117,1053,1,2024-01-21 11:00:00,1,41.02
493,120,1093,18,2024-01-21 12:00:00,4,32.55
494,144,1055,37,2024-01-21 13:00:00,4,18.31
495,112,1169,18,2024-01-21 14:00:00,4,86.95
496,129,1389,24,2024-01-21 15:00:00,1,63.44
497,123,1468,34,2024-01-21 16:00:00,2,12.98
